EMPLOYER_KEY,EMPLOYER_NAME,Certified_LCAs,New_Employment_Approval,Most_Common_SOC,Median_Prevailing_Wage_Level,Median_Annualized_Prevailing_Wage
univofwisystemplatteville,Univ of WI System/Platteville,8,100,"Computer Science Teachers, Postsecondary",I,59835
univofwisystemriverfalls,Univ of WI System/River Falls,3,100,"Agricultural Sciences Teachers, Postsecondary",I,57100
univofwisystemstout,Univ of WI System/Stout,2,100,"Art, Drama, and Music Teachers, Postsecondary",I,51539.2
univofwisystemsuperior,Univ of WI System/Superior,1,100,"Business Teachers, Postsecondary",I,62090
fidelitytechnologygroup,Fidelity Technology Group,470,99,Software Developers,II,117832
fidelitytechnologygroupdbafidelityinvestments,Fidelity Technology Group d/b/a Fidelity Investments,547,99,Software Developers,III,127878
texasamuniversity,Texas A&M University,105,97,"Mathematical Science Teachers, Postsecondary",I,55578
theuniversityofiowa,The University of Iowa,149,97,"Healthcare Practitioners and Technical Workers, All Other",II,62878
universityofiowa,University of Iowa,3,97,Anesthesiologists,I,65104
appliedmaterials,Applied Materials,179,96,Industrial Engineers,III,142293
theohiostateuniversity,The Ohio State University,118,95,"Medical Scientists, Except Epidemiologists",I,57827
ciscosystems,Cisco Systems,821,92,Software Developers,III,131872
stjudechildrensresearchhospital,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,186,92,Biochemists and Biophysicists,II,60590
johnshopkinsuniversity,Johns Hopkins University,142,90,Molecular and Cellular Biologists,I,68078
theuniversityofchicago,The University of Chicago,118,90,"Medical Scientists, Except Epidemiologists",II,64501
universityofchicago,University of Chicago,16,90,Chemists,I,43215
morganstanleyservicesgroup,Morgan Stanley Services Group,275,89,Software Developers,III,126838
ucsfmedicalcenter,UCSF MEDICAL CENTER,11,89,Medical and Clinical Laboratory Technologists,IV,130998.4
universityofcaliforniasanfrancisco,"University of California, San Francisco",125,89,Biochemists and Biophysicists,II,80700
managementhealthsystems,Management Health Systems,55,87,Medical and Clinical Laboratory Technologists,I,42203.2
paypal,PayPal,509,87,Software Developers,III,152768
mckinseycompanyunitedstates,McKinsey & Company. United States,381,86,Management Analysts,II,105227
synopsys,Synopsys,111,85,"Electronics Engineers, Except Computer",III,153588
harvarduniversity,Harvard University,116,84,"Biological Scientists, All Other",I,65180
northwesternuniversity,Northwestern University,117,84,"Medical Scientists, Except Epidemiologists",I,56368
fordmotorcompany,FORD MOTOR COMPANY,433,82,Software Developers,III,114691
rochestergeneralhospital,Rochester General Hospital,13,81,Registered Nurses,II,76440
yaleuniversity,Yale University,112,79,Molecular and Cellular Biologists,I,72761
yaleuniversityoiss,Yale University OISS,1,79,"Foreign Language and Literature Teachers, Postsecondary",I,65040
cornelluniversity,Cornell University,1,78,Food Scientists and Technologists,II,58677
mphasiscorporation,Mphasis Corporation,612,78,Computer Programmers,II,85530
utsouthwesternmedicalcenter,UT Southwestern Medical Center,93,78,"Medical Scientists, Except Epidemiologists",I,55328
utsouthwesternmedicalcenterofficeofinternationalaffairs,"UT Southwestern Medical Center, Office of International Affairs",13,78,"Medical Scientists, Except Epidemiologists",I,55328
universityofrochester,University of Rochester,82,77,Registered Nurses,II,64875.200000000004
universityofutah,University of Utah,84,77,"Medical Scientists, Except Epidemiologists",II,63357
universityofutahofficeofgeneralcounsel,University of Utah Office of General Counsel,1,77,Biochemists and Biophysicists,I,50149
columbiauniversity,Columbia University,137,74,"Medical Scientists, Except Epidemiologists",II,78155
regentsoftheuniversityofminnesota,Regents of the University of Minnesota,10,74,Molecular and Cellular Biologists,I,58469
universityofminnesota,University of Minnesota,102,74,"Health Specialties Teachers, Postsecondary",I,63897.6
blackrockfinancialmanagement,BlackRock Financial Management,204,72,Software Developers,II,115731
danafarbercancerinstittue,Dana-Farber Cancer Instittue,4,72,Bioinformatics Scientists,I,62650
danafarbercancerinstitute,Dana-Farber Cancer Institute,86,72,Molecular and Cellular Biologists,I,51688
universityofflorida,UNIVERSITY OF FLORIDA,123,70,"Physicians, All Other",II,65333
universityofwashington,University of Washington,93,70,"Health Specialties Teachers, Postsecondary",I,68460
utbattelleoakridgenationallaboratory,UT-BATTELLE (OAK RIDGE NATIONAL LABORATORY),120,70,Computer and Information Research Scientists,II,70803
arizonastateuniversity,Arizona State University,10,69,Software Developers,II,76253
massachusettsinstituteoftechnology,Massachusetts Institute of Technology,95,69,Biochemists and Biophysicists,I,60070
memorialsloanketteringcancercenter,Memorial Sloan Kettering Cancer Center,81,69,"Medical Scientists, Except Epidemiologists",II,83429
cvssharedservicesresources,CVS Shared Services Resources,80,67,Software Developers,III,127878
dukeuniversity,Duke University,117,67,Biochemists and Biophysicists,I,62608
brighamandwomenshospital,Brigham and Women's Hospital,98,66,"Physicians, All Other",I,72946
infocons,Infocons,47,66,Software Developers,II,99736
theuniversityofvirginia,The University of Virginia,94,65,"Medical Scientists, Except Epidemiologists",I,61547.100000000006
universityofcaliforniaberkeley,"University of California, Berkeley",84,65,"Engineering Teachers, Postsecondary",I,77444
purdueuniversity,Purdue University,121,64,"Computer Science Teachers, Postsecondary",I,53570
synechron,SYNECHRON,241,63,Software Developers,II,103418
universityofarkansasformedicalsciences,University of Arkansas for Medical Sciences,62,63,"Physicians, All Other",I,62753.5
wayfair,Wayfair,107,63,Software Developers,IV,148762
lawrenceberkeleynationallaboratory,Lawrence Berkeley National Laboratory,84,62,"Energy Engineers, Except Wind and Solar",III,93304.5
deloittetouchellp,Deloitte & Touche LLP,684,61,Accountants and Auditors,II,101462
goldmansachsbankusa,GOLDMAN SACHS BANK USA,183,61,Software Developers,II,105997
barclaysservicescorp,Barclays Services Corp,155,60,Software Developers,III,151819
nxpusa,NXP USA,65,60,"Electronics Engineers, Except Computer",II,119434
universityofcaliforniasandiego,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",104,59,Biochemists and Biophysicists,I,78750.5
randstaddigital,RANDSTAD DIGITAL,297,58,Software Developers,II,105997
universityofcaliforniadavis,"University of California, Davis",70,58,Soil and Plant Scientists,II,74100
universityofcalifornialosangeles,"University of California, Los Angeles",83,58,"Medical Scientists, Except Epidemiologists",II,80110
amgen,Amgen,144,57,Software Developers,III,112518
amgenincorporated,Amgen Incorporated,1,57,Computer Systems Analysts,II,89772.79999999999
californiadepartmentoftransportation,California Department of Transportation,52,57,Transportation Engineers,NA,86544
childrenshospitalcorporation,Children's Hospital Corporation,78,57,"Biological Scientists, All Other",II,69701
thechildrenshospitalcorporation,The Children's Hospital Corporation,1,57,Pharmacists,III,130146
exl,EXL,1,56,Management Analysts,II,103709
exlservicecom,ExlService.com,133,56,Management Analysts,II,105976
generalhospitalcorporation,General Hospital Corporation,95,56,"Medical Scientists, Except Epidemiologists",I,69701
montefioremedicalcenter,MONTEFIORE MEDICAL CENTER,70,56,"Physicians, All Other",II,98042.7
morganstanleyco,Morgan Stanley & Co,34,56,Financial and Investment Analysts,III,142771
pricewaterhousecoopersadvisoryservices,PRICEWATERHOUSECOOPERS ADVISORY SERVICES,462,56,Computer and Information Systems Managers,III,139859
americanexpresstravelrelatedservicescompany,American Express Travel Related Services Company,482,55,Software Developers,III,128877
dfscorporateservices,DFS Corporate Services,158,55,Software Developers,IV,137758
sapamerica,SAP America,156,55,Computer Systems Analysts,IV,125611
boardoftrusteesuniversityofillinoisonbehalfofuniversityofillinoisspringfield,"Board of Trustees, University of Illinois, on behalf of University of Illinois Springfield",2,54,"Business Teachers, Postsecondary",II,56183
federalexpresscorporation,Federal Express Corporation,774,54,Software Developers,III,105581
snap,SNAP,156,54,Software Developers,III,172022
universityofillinoisatchicago,University of Illinois at Chicago,3,54,Clinical Research Coordinators,II,71500
universityofillinoischicago,University of Illinois Chicago,58,54,"Health Specialties Teachers, Postsecondary",II,65123
visausa,Visa U.S.A.,293,54,Information Technology Project Managers,III,133682
elilillyandcompany,Eli Lilly and Company,91,53,Software Developers,IV,109720
nationalinstitutesofhealthhhs,"National Institutes of Health, HHS",102,53,"Medical Scientists, Except Epidemiologists",I,68536
northwellhealth,NORTHWELL HEALTH,87,53,"Physicians, All Other",III,83324
ochsnerclinicfoundation,Ochsner Clinic Foundation,55,53,Medical and Clinical Laboratory Technologists,II,54641.6
salesforce,Salesforce,911,53,Software Developers,III,155605
universityofgeorgia,University of Georgia,30,53,Molecular and Cellular Biologists,I,56181
universityofgeorgiaoge,University of Georgia; OGE,33,53,"Mathematical Science Teachers, Postsecondary",I,53269
fortinet,Fortinet,106,52,Software Developers,III,152210.5
amazoncomservices,AMAZON.COM SERVICES,1513,51,Software Developers,II,136843
healthcarousel,Health Carousel,8,51,Medical and Clinical Laboratory Technologists,I,46238.399999999994
lttechnologyserviceslimited,L&T Technology Services Limited,241,51,Mechanical Engineers,II,88234
theuniversityoftexasataustin,The University of Texas at Austin,95,51,"Geoscientists, Except Hydrologists and Geographers",I,56597
upmcmedicaleducation,UPMC Medical Education,90,51,General Internal Medicine Physicians,NA,70156
weillcornellmedicalcollege,Weill Cornell Medical College,4,51,"Medical Scientists, Except Epidemiologists",I,56368
duboisregionalmedicalcenter,DUBOIS REGIONAL MEDICAL CENTER,33,50,Registered Nurses,I,62025.6
duboisregionalmedicalcenterdbapennhighlandsdubois,DuBois Regional Medical Center (d/b/a Penn Highlands DuBois),14,50,Registered Nurses,I,62025.6
icahnschoolofmedicineatmountsinai,Icahn School of Medicine at Mount Sinai,103,50,"Medical Scientists, Except Epidemiologists",II,74675
pennhighlandsdubois,Penn Highlands DuBois,2,50,Registered Nurses,I,62025.6
universityofmiami,UNIVERSITY OF MIAMI,64,50,"Medical Scientists, Except Epidemiologists",II,63846
advancedmicrodevices,Advanced Micro Devices,333,49,"Electronics Engineers, Except Computer",III,142022
cvsrxservices,CVS Rx Services,19,49,Pharmacists,III,131206
henryfordhealthsystem,Henry Ford Health System,88,49,"Physicians, All Other",II,69950
expedia,Expedia,272,48,Software Developers,III,137259
insightglobal,Insight Global,83,48,Software Developers,III,124425.6
nagarro,NAGARRO,69,48,Software Developers,II,101962
hexawaretechnologies,Hexaware Technologies,264,47,Computer Programmers,II,104000
netflix,Netflix,113,47,Software Developers,IV,226158
kforce,KFORCE,359,46,Software Developers,II,112985.6
lucidusa,Lucid USA,169,46,Software Developers,III,155605
mpgoperations,MPG Operations,77,46,Software Developers,III,123656
fismanagementservices,FIS Management Services,145,45,Software Developers,II,112986
harmonypublicschools,Harmony Public Schools,76,45,"Secondary School Teachers, Except Special and Career/Technical Education",I,55730
jefferies,Jefferies,39,45,Financial and Investment Analysts,III,153046
pinterest,Pinterest,147,45,Software Developers,III,163862
aecomtechnicalservices,AECOM Technical Services,64,44,Civil Engineers,II,89315
nyugrossmanschoolofmedicine,NYU Grossman School of Medicine,70,44,"Medical Scientists, Except Epidemiologists",I,69888
virginiapolytechnicinstitutestateuniversity,Virginia Polytechnic Institute & State University,67,44,"Engineering Teachers, Postsecondary",I,68053
wmriceuniversisty,W.M. Rice Universisty,1,44,Environmental Engineers,I,59301
wmriceuniversity,W.M. Rice University,47,44,Materials Scientists,II,66581
baylorcollegeofmedicine,Baylor College of Medicine,77,43,"Medical Scientists, Except Epidemiologists",III,57054
dallasindependentschooldistrict,Dallas Independent School District,95,43,"Elementary School Teachers, Except Special Education",II,61237
databricks,Databricks,149,43,Software Developers,III,166962
thepennsylvaniastateuniversity,The Pennsylvania State University,71,43,"Computer Science Teachers, Postsecondary",I,56368
uchicagoargonne,UChicago Argonne,58,43,Physicists,II,70346
analysisgroup,Analysis Group,18,42,Biostatisticians,III,124322
birlasoft,Birlasoft,68,42,Software Developers,II,101982.5
deutschebanksecurities,Deutsche Bank Securities,128,42,Financial and Investment Analysts,I,85301
newyorkuniversity,New York University,70,42,Social Science Research Assistants,I,68058
northcarolinastateuniversity,North Carolina State University,74,42,"Computer Science Teachers, Postsecondary",II,64301.5
nutanix,Nutanix,99,42,Software Developers,IV,181374
nychealthandhospitalscorp,NYC Health and Hospitals Corp,3,42,"Physicians, All Other",NA,88985
theuniversityofsoutherncalifornia,THE UNIVERSITY OF SOUTHERN CALIFORNIA,87,42,Molecular and Cellular Biologists,I,70990
allianceforsustainableenergy,Alliance for Sustainable Energy,49,41,"Electrical Engineers, R&D",III,77106
citadelsecuritiesamericasservices,CITADEL SECURITIES AMERICAS SERVICES,31,41,Operations Research Analysts,II,91270
compunnelsoftwaregroup,COMPUNNEL SOFTWARE GROUP,986,41,Software Developers,II,105206
indianauniversityindianapolis,Indiana University Indianapolis,85,41,"Medical Scientists, Except Epidemiologists",I,60320
universityofcaliforniairvine,"UNIVERSITY OF CALIFORNIA, IRVINE",40,41,Molecular and Cellular Biologists,I,76600
citiustech,CitiusTech,134,40,Software Developers,II,98862
homedepotmanagementcompany,Home Depot Management Company,176,40,Software Developers,III,127504
lelandstanfordjrunivslacnationalacceleratorlab,Leland Stanford Jr. Univ/SLAC National Accelerator Lab,50,40,Physicists,II,87641
topekapublicschoolsunifiedschooldistrictno501,Topeka Public Schools Unified School District No.501,14,40,"Special Education Teachers, Secondary School",NA,49500
topekausd501,Topeka USD 501,1,40,Information Technology Project Managers,IV,81390
usd501topekapublicschools,"USD 501, Topeka Public Schools",27,40,"Special Education Teachers, Elementary School",NA,63600
wellsfargobankna,"Wells Fargo Bank, N.A",142,40,Software Developers,IV,141898
deloittetaxllp,Deloitte Tax LLP,342,39,Accountants and Auditors,II,94973
georgiainstituteoftechnology,Georgia Institute of Technology,40,39,Bioengineers and Biomedical Engineers,I,59634
regeneronpharmaceuticals,Regeneron Pharmaceuticals,70,39,Biochemists and Biophysicists,III,111394
siemensindustrysoftware,Siemens Industry Software,74,39,Software Developers,IV,129209.5
universityofcoloradodenver,University of Colorado Denver,57,39,Biochemists and Biophysicists,II,68869
universityofmaryland,University of Maryland,3,39,Atmospheric and Space Scientists,III,104978
universityofmarylandcollegepark,"University of Maryland, College Park",62,39,Physicists,I,62878
universityofmarylandcollegeparkmd,"University of Maryland - College Park, MD",1,39,"Environmental Science Teachers, Postsecondary",I,59390
arm,Arm,181,38,"Electronics Engineers, Except Computer",II,134285
brillio,Brillio,92,38,Software Developers,II,106797.5
genentech,Genentech,29,38,"Medical Scientists, Except Epidemiologists",III,128398
newyorkcitydepartmentofeducation,New York City Department of Education,28,38,"Middle School Teachers, Except Special and Career/Technical Education",NA,64789
rivianautomotive,RIVIAN AUTOMOTIVE,145,38,Mechanical Engineers,III,117104
stateuniversityofnewyorkupstatemedicaluniversity,"State University of New York, Upstate Medical University",16,38,"Health Specialties Teachers, Postsecondary",NA,59899
themathworks,The MathWorks,198,38,Software Developers,III,147846
bethisraeldeaconessmedicalcenter,Beth Israel Deaconess Medical Center,73,37,"Biological Scientists, All Other",I,69722
dishwireless,DISH Wireless,54,37,"Electronics Engineers, Except Computer",II,105622.5
dishwirelessllc,"Dish Wireless, L.L.C",14,37,Computer Systems Engineers/Architects,II,109886
southwestmetrointermediatedistrict288,Southwest Metro Intermediate District 288,2,37,"Special Education Teachers, All Other",NA,48631.5
universityofcolorado,University of Colorado,50,37,Astronomers,I,63232
universityofcoloradosystemadministration,University of Colorado System Administration,1,37,"Software Developers, Non R&D",IV,108597
universityofsouthflorida,University of South Florida,42,37,"Postsecondary Teachers, All Other",II,65642
abbvie,AbbVie,92,36,Computer Systems Engineers/Architects,III,121326.5
asmluslp,"ASML US, LP",176,36,Software Developers,III,124030
birlasoftsolutions,Birlasoft Solutions,35,36,Software Developers,II,103210
block,Block,126,36,Software Developers,IV,175354.5
boardofregentsoftheuniversityofnebraska,Board of Regents of the University of Nebraska,88,36,"Health Specialties Teachers, Postsecondary",I,59966.5
administratorsofthetulaneeducationalfund,Administrators of the Tulane Educational Fund,55,35,"Health Specialties Teachers, Postsecondary",I,58840
carnegiemellonuniversity,Carnegie Mellon University,60,35,Software Developers,I,65666
incedo,INCEDO,39,35,Software Developers,III,121514
nysarcrocklandcountychapter,NYSARC. Rockland County Chapter,24,35,Rehabilitation Counselors,I,38604.799999999996
virtusacorporation,VIRTUSA CORPORATION,241,35,Computer Systems Analysts,II,95846
cgitechnologiesandsolutions,CGI Technologies and Solutions,300,34,Software Developers,II,102918.5
junipernetworks,Juniper Networks,77,34,Software Developers,II,149760
paloaltonetworks,Palo Alto Networks,301,34,Software Developers,IV,182555
paulweissrifkindwhartongarrisonllp,"Paul, Weiss, Rifkind, Wharton & Garrison, LLP",72,34,Lawyers,II,153254
redhat,Red Hat,50,34,Software Developers,II,113557.5
rutgersthestateuniversityofnewjersey,"Rutgers, The State University of New Jersey",81,34,"Medical Scientists, Except Epidemiologists",NA,73161
statestreetbankandtrustcompany,State Street Bank and Trust Company,116,34,Software Developers,IV,133724
texastechuniversity,Texas Tech University,33,34,"Economics Teachers, Postsecondary",I,57820
universityofnewmexico,University of New Mexico,34,34,"Health Specialties Teachers, Postsecondary",II,62400
universityofnorthcarolinaatchapelhill,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,45,34,"Medical Scientists, Except Epidemiologists",II,72883
visatechnologyoperations,Visa Technology & Operations,328,34,Software Developers,IV,136989
brookhavennationallaboratory,Brookhaven National Laboratory,49,33,Physicists,II,87506
citadelamericasservices,CITADEL AMERICAS SERVICES,44,33,Operations Research Analysts,II,91270
michiganstateuniversity,Michigan State University,53,33,Biochemists and Biophysicists,II,63835
thebrookdalehospitalmedicalcenter,The Brookdale Hospital Medical Center,13,33,"Physicians, All Other",I,83574
yahooholdings,Yahoo Holdings,136,33,Software Developers,III,166088
zoox,Zoox,111,33,Software Developers,III,160139
cadencedesignsystems,Cadence Design Systems,116,32,Software Developers,IV,151794.5
cedarssinaimedicalcenter,Cedars-Sinai Medical Center,64,32,"Medical Scientists, Except Epidemiologists",I,70990
conexusmedstaff,Conexus MedStaff,15,32,Medical and Clinical Laboratory Technologists,II,52436.8
moodysanalytics,Moody's Analytics,71,32,Software Developers,II,128398
trusteesofbostonuniversity,TRUSTEES OF BOSTON UNIVERSITY,68,32,"Business Teachers, Postsecondary",I,68228
atossyntel,ATOS SYNTEL,134,31,Computer Systems Engineers/Architects,II,82430
dreamventurelabs,DREAM Venture Labs,40,31,Training and Development Specialists,II,85841.6
eficenssystems,EFICENS SYSTEMS,75,31,Software Developers,II,85530
moodysinvestorsservice,Moody's Investors Service,40,31,Software Developers,III,145662.5
universityofmassachusettsamherst,University of Massachusetts Amherst,29,31,"Business Teachers, Postsecondary",I,69000
vanderbiltuniversity,Vanderbilt University,32,31,Biochemists and Biophysicists,II,71053
washingtonstateuniversity,Washington State University,26,31,Molecular and Cellular Biologists,I,55245
astrazenecapharmaceuticalslp,AstraZeneca Pharmaceuticals LP,42,30,Business Intelligence Analysts,III,115606.5
battellememorialinstitute,Battelle Memorial Institute,55,30,Chemists,II,68702
bectondickinsonandcompany,"Becton, Dickinson and Company",50,30,Software Developers,III,129022.5
californiainstituteoftechnology,California Institute of Technology,36,30,Physicists,I,72272
californiainstituteoftechnologyjetpropulsionlaboratory,California Institute of Technology/Jet Propulsion Laboratory,13,30,Physicists,III,92664
caremark,Caremark,190,30,Software Developers,III,127754
chimefinancial,Chime Financial,54,30,Software Developers,IV,173638
embryriddleaeronauticaluniversity,Embry-Riddle Aeronautical University,27,30,"Postsecondary Teachers, All Other",I,62836.8
hubspot,HubSpot,48,30,Software Developers,III,147846
iowastateuniversityofscienceandtechnology,Iowa State University of Science and Technology,70,30,Materials Scientists,I,58052.7
lenorasystems,Lenora Systems,14,30,Computer Systems Analysts,I,89440
louisianastateuniversityandamcollege,Louisiana State University and A&M College,36,30,"Health Specialties Teachers, Postsecondary",I,58790
lsuagriculturalcenter,LSU Agricultural Center,14,30,"Agricultural Sciences Teachers, Postsecondary",II,52312
savannahchathamcountypublicschoolsystem,SAVANNAH CHATHAM COUNTY PUBLIC SCHOOL SYSTEM,132,30,"Elementary School Teachers, Except Special Education",II,56410
siemensmedicalsolutionsusa,SIEMENS MEDICAL SOLUTIONS USA,1,30,Computer and Information Research Scientists,II,134056
ubsbusinesssolutionsus,UBS Business Solutions US,191,30,Software Developers,III,116438
aetnaresources,Aetna Resources,156,29,Software Developers,III,124893.5
americanexpresscompany,American Express Company,67,29,Information Technology Project Managers,III,139152
bankofamericana,BANK OF AMERICA N.A,309,29,Software Developers,III,134347
capitalitsolutions,Capital IT Solutions,13,29,Software Developers,II,102627
citigroupglobalmarkets,Citigroup Global Markets,31,29,Financial Quantitative Analysts,III,132371
howardhughesmedicalinstitute,Howard Hughes Medical Institute,57,29,"Biological Scientists, All Other",II,62962
medstargeorgetownmedicalcenter,MedStar Georgetown Medical Center,3,29,General Internal Medicine Physicians,III,67829
openavenuesfoundation,Open Avenues Foundation,38,29,Financial and Investment Analysts,II,85706.40000000001
universityofcaliforniariverside,"University of California, Riverside",3,29,Database Administrators,II,81037
casewesternreserveuniversity,Case Western Reserve University,45,28,"Medical Scientists, Except Epidemiologists",I,52541
cumberlandcountyhospitalsystem,Cumberland County Hospital System,18,28,Registered Nurses,II,66768
doordash,DoorDash,226,28,Software Developers,IV,165610
genpact,Genpact,78,28,Software Developers,II,105227
itcinfotechusa,ITC INFOTECH (USA),23,28,Software Developers,II,105310
lawrencelivermorenationalsecurity,Lawrence Livermore National Security,36,28,Physicists,II,125320
maimonidesmedicalcenter,Maimonides Medical Center,17,28,"Physicians, All Other",III,93696.04
massgeneralbrighamincorporated,Mass General Brigham Incorporated,47,28,"Physicians, All Other",II,78857
northeasternuniversity,Northeastern University,40,28,"Engineering Teachers, Postsecondary",I,68020.20000000001
palantirtechnologies,PALANTIR TECHNOLOGIES,25,28,Software Developers,II,123656
rochesterinstituteoftechnology,Rochester Institute of Technology,33,28,"Computer Science Teachers, Postsecondary",I,59510
californiapolytechnicstateuniversitysanluisobispo,"CALIFORNIA POLYTECHNIC STATE UNIVERSITY, SAN LUIS OBISPO",19,27,"Business Teachers, Postsecondary",NA,74652
coloradostateuniversity,Colorado State University,34,27,"Civil Engineers, R&D",I,63471.5
dbglobaltechnology,DB Global Technology,108,27,Software Developers,III,114421
dprconstructionageneralpartnership,"DPR Construction, A General Partnership",39,27,Construction Managers,II,102773
medicalcollegeofwisconsin,Medical College of Wisconsin,61,27,"Health Specialties Teachers, Postsecondary",III,85384
populusgroup,Populus Group,123,27,Software Developers,III,111550.40000000001
sumitomomitsuibankingcorporation,SUMITOMO MITSUI BANKING CORPORATION,100,27,Financial and Investment Analysts,II,107421.5
