instnm,ein
Advanced Barber College and Hair Design,742499648
Advanced Career Institute,201675671
Advanced College of Cosmetology,943478216
Advanced Technology Institute,541680601
Advanced Training Institute,208451424
Advanced Welding Institute,43748835
Advantage Career Institute,203476575
Advantage Technical College,660439287
Advantage Technical College,660439287
Advantage Technical College-Aguadilla,660439287
AdventHealth University,593069793
Aesthetic Science Institute,384125042
Aesthetics Institute,824478487
Agape College of Business and Science,770518457
Agnes Scott College,580566116
Aiken Technical College,570523399
Aims Community College,840575852
Alabama A & M University,636001109
Alabama College of Osteopathic Medicine,273339185
Alabama School of Nail Technology & Cosmetology,631170370
Alabama State University,636001101
Alamance Community College,566052379
Alamo City Barber College,274314777
Alamo Community College District Central Office,746002173
Alaska Bible College,943255546
Alaska Career College,920106326
Alaska Christian College,920174205
Alaska Pacific University,920023588
Alaska Vocational Technical Center,926001185
Albany Beauty Academy,474050091
Albany BOCES-Adult Practical Nursing Program,146009582
Albany College of Pharmacy and Health Sciences,141423161
Albany Law School,141338309
Albany Medical College,141338310
Albany State University,586001996
Albany Technical College,581788487
Albert Einstein College of Medicine,830621846
Albertus Magnus College,60646520
Albion College,381359081
Albizu University-Miami,592060342
Albizu University-San Juan,660234412
Albright College,231352615
Alcorn State University,646000013
Alder Graduate School of Education,474649648
Alexander Academy,810664142
Alexander Paul Institute of Hair Design,274380455
Alexandria Technical & Community College,411687754
Alfred University,160743900
Alhambra Medical University,470913490
Alice Lloyd College,610492351
All In The Wrist Barber Academy,475607445
All-State Career School,232334960
All-State Career School-Pittsburgh,232937924
All-State Career-Baltimore,232571696
Allan Hancock College,521692042
Allegany College of Maryland,520846757
Allegheny College,250965212
Allegheny Wesleyan College,341142457
Allen College,421351526
Allen County Community College,480697480
Allen School-Brooklyn,161678414
Allen School-Jamaica,161678414
Allen School-Phoenix,161678414
Allen University,570341191
Allgood Beauty Institute,270700108
Alliance Computing Solutions,113432302
Alliant International University-San Diego,205683516
Allied Health Careers Institute,272253298
Allstate Hairstyling & Barber College,340878763
Allure Beauty College,871920729
Alma College,381359083
Alpena Community College,382310748
Altoona Beauty School Inc,251758011
Alvernia University,231522643
Alverno College,390806263
Alvin Community College,741405330
Amarillo College,756000031
Amberton University,751786007
Ambria College of Nursing,611488184
America Evangelical University,954860047
American Academy McAllister Institute of Funeral Service,132590811
American Academy of Art College,463291995
American Academy of Cosmetology,30601562
American Academy of Dramatic Arts-Los Angeles,130429660
American Academy of Dramatic Arts-New York,130429660
American Academy of Health and Wellness,854063165
American Advanced Technicians Institute,650606684
American Baptist College,620485724
American Barber and Beauty Academy,472576959
American Beauty Academy,205598588
American Beauty Academy-West Valley Campus,205598588
American Beauty College,203008427
American Beauty School,134135190
American Beauty Schools,454481018
American Career College-Anaheim,953236475
American Career College-Los Angeles,953236475
American Career College-Ontario,260105863
American College of Acupuncture and Oriental Med,760326543
American College of Barbering,-1
American College of Healthcare and Technology,900446860
American College of Healthcare and Technology,900446860
American College of Healthcare and Technology-Santa Ana,900446860
American College of Healthcare Sciences,931123424
American College of the Building Arts,571075250
American Educational College,660393101
American Film Institute Conservatory,526072925
American Hair Academy,474650748
American Institute of Alternative Medicine,311408847
American Institute of Alternative Medicine,223640333
American Institute of Beauty,810552363
American Institute of Healthcare & Technology,453087636
American Institute of Massage Therapy,900044328
American Institute of Medical Sciences & Education,201077437
American Institute-Cherry Hill,61184242
American Institute-Clifton,61184242
American Institute-Somerset,61184242
American Institute-Toms River,61184242
American Institute-West Hartford,61184242
American InterContinental University System,364302828
American InterContinental University-Atlanta,581286467
American InterContinental University-Houston,581286467
American International College,42103701
American Jewish University,951684064
American Massage & Bodywork Institute,473201423
American Medical Academy,205206726
American Medical Sciences Center,954566098
American Musical and Dramatic Academy,132501829
American National University,541000842
American National University-Pikeville,610436312
American Public University System,10724370
American River College,941576340
American Samoa Community College,660516639
American Technical Institute,660625886
American Trade School,134256746
American University,530196549
American University of Health Sciences,900753581
Americare Technical School,830424510
AMG School of Nursing,454521402
Amherst College,42103542
Amridge University,237034324
Ana G. Mendez University,660201206
Anabaptist Mennonite Biblical Seminary,351902148
Anderson University,350867954
Anderson University,570324906
Andrew College,580568687
Andrews University,381627600
Angeles College,870727021
Angeles Institute,208385998
Angelina College,751244347
Angelo State University,756002403
Ann Webb Skin Institute,261328598
Anna Maria College,42002060
Anne Arundel Community College,520905706
Annenberg School of Nursing,208449705
Anoka Technical College,411687554
Anoka-Ramsey Community College,411687554
Another Level Barbering and Cosmetology School,472569356
Antelope Valley Community College District,952228663
Antigua College International,460807200
Antilles School of Technical Careers,660429911
Antioch College,261672457
Antioch University,310536640
Antioch University-Los Angeles,310536640
Antioch University-New England,310536640
Antioch University-Santa Barbara,310536640
Antioch University-Seattle,310536640
Antioch University-System Administration,310536640
AOMA Graduate School of Integrative Medicine,742997270
Aparicio-Levy Technical College,596000600
Apex Academy Hair Skin Nails School of Cosmetology,461533018
Apex College of Veterinary Technology,242475180
Apex Technical School,874527298
Apollo Career Center,341126813
Appalachian Beauty School,824310576
Appalachian Bible College,550370901
Appalachian College of Pharmacy,260069167
Appalachian School of Law,541743079
Appalachian State University,561176030
Applied Technology Services,436015057
Aquinas College,381367080
Aquinas Institute of Theology,431233793
Arapahoe Community College,840704120
Arcadia University,231352620
Arclabs,205572859
Arizona Academy of Beauty,860178896
Arizona Board of Regents,866004791
Arizona Christian University,860186050
Arizona College of Nursing-Aurora,431537880
Arizona College of Nursing-Cincinnati,431537880
Arizona College of Nursing-Cleveland,431537880
Arizona College of Nursing-Dallas,431537880
Arizona College of Nursing-Falls Church,431537880
Arizona College of Nursing-Fort Lauderdale,431537880
Arizona College of Nursing-Las Vegas,431537880
Arizona College of Nursing-Ontario,431537880
Arizona College of Nursing-Phoenix,431537880
Arizona College of Nursing-Salt Lake City,431537880
Arizona College of Nursing-Sarasota,431537880
Arizona College of Nursing-Southfield,431537880
Arizona College of Nursing-Tampa,431537880
Arizona College of Nursing-Tempe,431537880
Arizona College of Nursing-Tucson,431537880
Arizona College-Glendale,431537880
Arizona College-Mesa,431537880
Arizona Culinary Institute,861024863
Arizona School of Acupuncture and Oriental Medicine,860817261
Arizona School of Integrative Studies,860882395
Arizona State University Campus Immersion,860196696
Arizona State University Digital Immersion,860196696
Arizona Western College,860179321
Arkansas Baptist College,710298658
Arkansas Beauty College,710583561
Arkansas Beauty School-Little Rock,464097088
Arkansas Colleges of Health Education,465138928
Arkansas Northeastern College,710460696
Arkansas State University,716000556
Arkansas State University Mid-South,710533838
Arkansas State University System,716000556
Arkansas State University Three Rivers,710411511
Arkansas State University-Beebe,710421333
Arkansas State University-Mountain Home,621687591
Arkansas State University-Newport,710855933
Arkansas Tech University,716014834
Arkansas Technical School,710455324
Arkansas Welding Academy,465343678
Arlington Baptist University,750983821
Arlington Career Institute,752239769
Arnolds Beauty School,261705702
Arnot Ogden Medical Center,160743905
Arrojo Cosmetology School,200711801
Art Academy of Cincinnati,311601569
Art Center College of Design,951921340
Arthur's Beauty College,710542768
Arthur's Beauty College,710542768
Arthur's Beauty College,710542768
Artistic Academy of Hair Design,222479323
Artistic Nails and Beauty Academy-Lakeland,593331881
Artistic Nails and Beauty Academy-Tampa,593331881
Asbury Theological Seminary,610445823
Asbury University,610458355
Ascent College,541851377
Asher College,943313694
Asher Institute of Hampton,541923657
Asheville-Buncombe Technical Community College,560792170
Ashford University,742652689
Ashland Community and Technical College,611320380
Ashland County-West Holmes Career Center,341089984
Ashland University,340714626
Ashtabula County Technical and Career Campus,340970014
ASI Career Institute,205803412
Asian-American International Beauty College,275022153
Aspen Beauty Academy of Laurel,263119753
Aspen University,800133504
ASPIRA City College,231930438
Assabet Valley Regional Technical School,42444973
Associated Barber College of San Diego,330989965
Associated Beth Rivkah Schools,112163504
Associated Technical College-Los Angeles,952925542
Assumption University,42105776
ATA Career Education,611264337
ATA College,473833340
ATA College,611264337
ATA College,20672029
ATA College-Cincinnati,611264337
Atelier Esthetique Institute of Esthetics,830633106
Atenas College,660537875
Athena Career Academy,270968251
Athens State University,630701340
Athens Technical College,581722080
ATI College-Whittier,954776013
Atlanta Institute of Music and Media,581822118
Atlanta Metropolitan State College,581190222
Atlanta School of Massage,581425103
Atlanta Technical College,586000134
Atlanta's John Marshall Law School,811827820
Atlantic Cape Community College,237368159
Atlantic Institute of Oriental Medicine,650512087
Atlantic Technical College,596000530
Atlantic University,660404491
Atlantis University,161691262
Auburn Career Center,50926564
Auburn University,636000724
Auburn University at Montgomery,636000724
Augsburg University,410694721
Augusta School of Massage,582549476
Augusta Technical College,581723458
Augusta University,586002053
Augustana College,362166962
Augustana University,460224588
Auguste Escoffier School of Culinary Arts-Austin,272613993
Auguste Escoffier School of Culinary Arts-Boulder,272356045
Aultman College of Nursing and Health Sciences,201359433
Aurora University,362166964
Austin Career Institute,455469650
Austin College,750827409
Austin Community College District,741742036
Austin Kade Academy,260766127
Austin Medical Assistant Training,811244359
Austin Peay State University,620646576
Austin Presbyterian Theological Seminary,741143056
Austin's Beauty College Inc,621522752
Automeca Technical College-Aguadilla,660407657
Automeca Technical College-Bayamon,660407657
Automeca Technical College-Caguas,660407657
Automeca Technical College-Ponce,660407657
Automotive Training Center-Exton,232658637
Automotive Training Center-Warminster,232658637
Autry Technology Center,730933656
Avalon Institute-Aurora,263315719
Avalon Institute-Las Vegas,263315719
Avalon Institute-Layton,263315719
Avalon Institute-Mesa,263315719
Avalon Institute-Phoenix,263315719
Avalon School of Cosmetology,882051510
Ave Maria School of Law,383519708
Ave Maria University,30482006
Aveda Arts & Sciences Institute Lafayette-Arlington,721340047
Aveda Arts & Sciences Institute Minneapolis,721340047
Aveda Arts & Sciences Institute Seattle,421636979
Aveda Arts & Sciences Institute-Baton Rouge,721340047
Aveda Arts & Sciences Institute-Covington,721340047
Aveda Arts & Sciences Institute-Lafayette,721340047
Aveda Arts & Sciences Institute-New York,721340047
Aveda Arts & Sciences Institute-San Antonio,21446359
Aveda Fredric's Institute-Cincinnati,311638633
Aveda Fredric's Institute-Indianapolis,311638633
Aveda Institute Montana,844185973
Aveda Institute Portland-Vancouver Campus,205545052
Aveda Institute Tucson-Avondale,262620214
Aveda Institute-Boise,204933744
Aveda Institute-Chapel Hill,201230907
Aveda Institute-Chicago,270869503
Aveda Institute-Columbus,201230907
Aveda Institute-Denver,522456385
Aveda Institute-Des Moines,201230907
Aveda Institute-Fort Myers,850487541
Aveda Institute-Madison,391980723
Aveda Institute-Maryland,10662489
Aveda Institute-New Mexico,263637737
Aveda Institute-Phoenix,262620214
Aveda Institute-Portland,205545052
Aveda Institute-Provo,271462704
Aveda Institute-South Florida,850487541
Aveda Institute-Tallahassee,850487541
Aveda Institute-Tucson,262620214
Aveda Institute-Twin Falls,800817059
Avenue Academy  A Cosmetology Institute,463340586
Avenue Five Institute,205509381
Avenue Five Institute-South Austin Campus,205509381
Averett University,540129860
Avery James College,470969432
Avi Career Training,541622508
Aviation Institute of Maintenance-Atlanta,232900403
Aviation Institute of Maintenance-Charlotte,351751152
Aviation Institute of Maintenance-Chicago,232900403
Aviation Institute of Maintenance-Dallas,232900403
Aviation Institute of Maintenance-Fremont,232900403
Aviation Institute of Maintenance-Houston,232900403
Aviation Institute of Maintenance-Indianapolis,351751152
Aviation Institute of Maintenance-Kansas City,232900403
Aviation Institute of Maintenance-Las Vegas,232900403
Aviation Institute of Maintenance-Manassas,232900403
Aviation Institute of Maintenance-Norfolk,541671592
Aviation Institute of Maintenance-Orlando,232900403
Aviation Institute of Maintenance-Philadelphia,232900403
Aviation Institute of Maintenance-Phoenix,351751152
Aviation Institute of Maintenance-Teterboro,222259297
Aviator College of Aeronautical Science and Technology,751978920
Avila University,440617326
Award Beauty School,800029361
Ayers Career College,720472472
Azusa Pacific University,951744369
B M Spurr School of Practical Nursing,550357045
Babson College,42103544
Bais Binyomin Academy,60951405
Bais HaMedrash and Mesivta of Baltimore,521980774
Bais Medrash Elyon,133728890
Bais Medrash Mayan Hatorah,202925281
Bais Medrash of Dexter Park,273441873
Bais Medrash Toras Chesed,226830873
Baker College,380321740
Baker University,480543766
Bakersfield College,956006644
Bakke Graduate University,911485907
Baldwin Beauty School-North Austin,742356114
Baldwin Beauty School-South Austin,742356114
Baldwin Park Adult & Community Education,956000213
Baldwin Wallace University,340714629
Ball State University,356000221
Baltimore Beauty & Barber School II,800029361
Baltimore City Community College,526002033
Baltimore Studio of Hair Design,520989949
Bancroft School of Massage Therapy,157780180
Bank Street College of Education,135562167
Baptist Health College Little Rock,710236856
Baptist Health Sciences University,621599670
Baptist Health System School of Health Professions,760714523
Baptist Missionary Association Theological Seminary,750959996
Baptist University of Florida,590799893
Baptist University of the Americas,742599785
Barber & Beauty Institute of New York,611471108
Barber and Beauty Academy of Pennsylvania,273307766
Barber Education Academy,825239070
Barber Institute of Texas,273371440
Barber School of Pittsburgh,205052029
Barber Tech Academy,271150099
Barber Tech Academy-Columbia,271150099
Barbers Trade School,471645545
Barclay College,480554341
Bard College,141713034
Bard College at Simon's Rock,141713034
Barnard College,131628149
Barnes-Jewish College Goldfarb School of Nursing,430652644
Barry University,590624364
Barstow Community College,956006415
Barton College,560529933
Barton County Community College,480720175
Bastyr University,911036794
Bates College,10211781
Bates Technical College,911526457
Baton Rouge Community College,721334786
Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology,721025017
Bay Area Medical Academy,203702238
Bay de Noc Community College,381711021
Bay Mills Community College,382604866
Bay Path University,42103865
Bayamon Community College,660578571
Baylor College of Medicine,741613878
Baylor University,741159753
Bayshire Academy of Beauty Craft Inc,382039556
Be'er Yaakov Talmudic Seminary,133836068
Beacon College,592961536
Beal University,453113313
Beau Monde Academy of Barbering and Cosmetology,930772120
Beaufort County Community College,560894923
Beaumont Adult School,911883328
Beauty Academy of South Florida,200311454
Beaver Beauty Academy,822806836
Beckfield College-Florence,204881637
Beis Medrash Heichal Dovid,113599905
Bel-Rea Institute of Animal Technology,840615080
Belanger School of Nursing,141338428
Belbo Beauty Institute,721481617
Belhaven University,640303069
Bell Mar Beauty College,363361398
Bella Capelli Academy,20692174
Bella Cosmetology and Barber College,461204733
Bellarmine University,610482955
Bellasa Professional Institute,134282880
Belle Academy of Cosmetology LLC,273865680
Bellevue College,910819265
Bellevue University,470491571
Bellin College,391620530
Bellingham Technical College,911526618
Bellus Academy,330587290
Bellus Academy-Chula Vista,952115919
Bellus Academy-El Cajon,952115919
Bellus Academy-Poway,330587290
Belmont Abbey College,560547498
Belmont College,310803587
Belmont University,620465076
Beloit College,390808497
Bemidji State University,411687554
Ben Franklin Career Center,832907794
Bene's Career Academy,200337509
Benedict College,570314365
Benedictine College,480777079
Benedictine University,362722198
Benjamin Franklin Cummings Institute of Technology,42103576
Bennett Career Institute,521993149
Bennett College,560532296
Bennington College,30179414
Bentley University,41081650
Berea College,610444650
Bergen Community College,221820506
Berk Trade and Business School,112350546
Berkeley City College,941590799
Berkeley College-New York,132819603
Berkeley College-Woodland Park,222810633
Berkeley School of Theology,941156250
Berklee College of Music,42300472
Berkowits School of Electrolysis,112555421
Berks Career & Technology Center,231658882
Berkshire Community College,46002284
Berry College,580566133
Best Care College,43712377
Bet Medrash Gadol Ateret Torah,272128167
Beth Hamedrash Shaarei Yosher Institute,116030154
Beth Medrash Govoha,210634542
Beth Medrash Meor Yitzchok,260623550
Beth Medrash of Asbury Park,270694073
Bethany College,480543734
Bethany College,550356985
Bethany Global University,416110005
Bethany Lutheran College,410747165
Bethany Theological Seminary,352092595
Bethel College-North Newton,480543782
Bethel University,350935587
Bethel University,410708577
Bethel University,620548913
Bethesda University,953104298
Bethune-Cookman University,590704726
Beulah Heights University,586050244
Bevill State Community College,631102108
Bexley Hall Seabury Western Theological Seminary Federation  Inc.,462322021
Beyond 21st Century Beauty Academy,472341354
Beyond Measure Barbering Institute,271126150
Big Bend Community College,910826741
Big Bend Technical College,596000878
Big Sandy Community and Technical College,611320380
Binghamton University,146013200
Biola University,950549600
Birmingham-Southern College,630708730
Bishop State Community College,630507477
Bismarck State College,450343495
BJ's Beauty & Barber College,911119669
BK Cosmo College of Cosmetology,832241235
Black Hawk College,362482309
Black Hills State University,466000364
Black River Technical College,710416918
Blackburn College,370661491
Blackfeet Community College,810378943
Blackhawk Technical College,391104235
Blackstone Valley Vocational Regional School District,42317111
Bladen Community College,560894927
Blake Austin College,680405027
Blalock's Professional Beauty College,680556548
Blessing Rieman College of Nursing and Health Sciences,370661183
Blinn College District,746000400
Bloomfield College,221494428
Blue Cliff Career College,631257125
Blue Cliff College-Alexandria,721121167
Blue Cliff College-Gulfport,721121167
Blue Cliff College-Lafayette,721121167
Blue Cliff College-Metairie,721121167
Blue Hills Regional Technical School,42379358
Blue Mountain Christian University,640325640
Blue Mountain Community College,930506536
Blue Ridge Community and Technical College,412167984
Blue Ridge Community College,560941830
Blue Ridge Community College,541268283
Bluefield State University,556000751
Bluefield University,540568200
Bluegrass Community and Technical College,611320380
Bluffton University,344428207
Bnos Zion Of Bobov Seminary,112288765
Board of Trustees-Mississippi State Institutions of Higher Learning,646000783
Bob Jones University,571088101
Boca Beauty Academy,721545088
Boca Beauty Academy-Parkland,721545088
Body Wisdom Massage Therapy School,431996039
Boise Barber College,475572564
Boise Bible College,820309302
Boise State University,820290701
Bolivar Technical College,431742297
Bon Secours Memorial College of Nursing,541744931
Bon Secours St Mary's Hospital School of Medical Imaging,540793767
Bonnie Joseph Academy of Cosmetology & Barbering,264153915
Boone Career and Technical Center,556000299
Boricua College,510175975
Borner's Barber College,270518603
Bos-Man's Barber College,273347188
Bossier Parish Community College,721380259
Boston Architectural College,42271070
Boston Baptist College,42970445
Boston College,42103545
Boston Graduate School of Psychoanalysis Inc,237410494
Boston University,42103547
Bowdoin College,10215213
Bowie State University,526002033
Bowling Green State University-Firelands,346402018
Bowling Green State University-Main Campus,346402018
Bradley University,370661494
Brand College,731704913
Brandeis University,42103552
Branford Academy of Hair & Cosmetology-Bridgeport,208810705
Branford Academy of Hair and Cosmetology,208810705
Brazosport College,741587881
Brenau University,580566143
Brescia University,610660795
Brevard College,560532297
Brewton-Parker College,580619030
Briar Cliff University,420707124
Bridgerland Technical College,870294483
Bridges Beauty College,330375008
Bridges Christian College,451226980
BridgeValley Community & Technical College,465109796
Bridgewater College,540506306
Bridgewater State University,46002284
Brigham Young University,870217280
Brigham Young University-Hawaii,990083825
Brigham Young University-Idaho,820207699
Brighton Center's Center for Employment Training,610673886
Brighton Institute of Cosmetology,382571645
Brightpoint Community College,541268277
Brillare Beauty Institute,640876425
Bristol Community College,46278794
Brite Divinity School,237121060
Brittany Beauty Academy,272351288
Brittany Beauty Academy,112196348
Brittany Beauty Academy,112196348
Broken Arrow Beauty College,731092257
Brookdale Community College,221849485
Brookline College-Albuquerque,141991211
Brookline College-Phoenix,141991211
Brookline College-Tempe,141991211
Brookline College-Tucson,141991211
Brooklyn Law School,237227990
Broome Delaware Tioga BOCES-Practical Nursing Program,156008639
Broward College,591216107
Brown & Clermont Adult Career Campuses,310838771
Brown Aveda Institute-Mentor,341686525
Brown Aveda Institute-Strongsville,341686525
Brown Beauty Barber School,202535014
Brown University,50258809
Brownson Technical School,330608347
Brunswick Community College,561255943
Bryan College of Health Sciences,470376552
Bryan College-Dayton,620528217
Bryan University,450509144
Bryan University,481072330
Bryant & Stratton College-Albany,844813183
Bryant & Stratton College-Buffalo,844813183
Bryant & Stratton College-Greece,844813183
Bryant & Stratton College-Online,160364420
Bryant & Stratton College-Parma,844813183
Bryant & Stratton College-Syracuse North,844813183
Bryant & Stratton College-Virginia Beach,844813183
Bryant & Stratton College-Wauwatosa,844813183
Bryant University,50258810
Bryn Athyn College of the New Church,231433899
Bryn Mawr College,231352621
Buckeye Hills Career Center,310794843
Buckeye Joint Vocational School,341089502
Bucknell University,240772407
Buckner Barber School,900280813
Bucks County Community College,231646982
Bucks County School of Beauty Culture Inc,231924990
Buena Vista University,420680404
Bull City Durham Beauty and Barber College,542035117
Bunker Hill Community College,46002284
Burlington County Institute of Technology-Adult Education,210735947
Burrell College of Osteopathic Medicine,470981990
Bushnell University,930433696
Butler Beauty Academy,272564830
Butler Beauty Academy-Kittanning Beauty Academy,272564830
Butler Beauty Academy-New Castle Beauty Academy,272564830
Butler Community College,480690383
Butler County Community College,251154027
Butler Technology and Career Development Schools,310826922
Butler University,350867977
Butte Academy of Beauty Culture,810412709
Butte College,941637174
Butte County Regional Occupational Program,946002433
Byzantine Catholic Seminary of Saints Cyril and Methodius,251141842
CAAN Academy of Nursing,30486416
Cabarrus College of Health Sciences,566000156
Cabell County Career Technology Center,556000306
Cabrillo College,946002633
Cabrini University,231526668
Caddo Kiowa Technology Center,736021022
Cadillac Institute of Cosmetology,800420115
Cairn University-Langhorne,230973290
Cal Northern School of Law,680359162
CALC Institute of Technology,371360670
CalCopa Massage School,330562245
Caldwell Community College and Technical Institute,560817481
Caldwell University,221500483
California Aeronautical University,952742708
California Baptist University,951890710
California Barber and Beauty College,320219834
California Beauty School,941654278
California Career College,421532386
California Career Institute,271531295
California College of ASU,952077629
California College of Barbering and Cosmetology,472810235
California College of Music,954734878
California College of the Arts,941156485
California Hair Design Academy,953569865
California Healing Arts College,464160676
California Health Sciences University,454846058
California Institute of Advanced Management,452648658
California Institute of Arts & Technology,263863091
California Institute of Arts & Technology-National City,263863091
California Institute of Integral Studies,942254303
California Institute of Medical Science,263622862
California Institute of Technology,951643307
California Institute of the Arts,956102146
California Intercontinental University,20681380
California Jazz Conservatory,431983168
California Lutheran University,952962604
California Miramar University,953132196
California Nurses Educational Institute,510617582
California Polytechnic State University-San Luis Obispo,946001347
California State Polytechnic University-Humboldt,946001347
California State Polytechnic University-Pomona,954255659
California State University Maritime Academy,680316355
California State University-Bakersfield,770314545
California State University-Chancellors Office,954601267
California State University-Channel Islands,912153805
California State University-Chico,951230865
California State University-Dominguez Hills,931043787
California State University-East Bay,946390556
California State University-Fresno,946001347
California State University-Fullerton,330632102
California State University-Long Beach,931150363
California State University-Los Angeles,946001347
California State University-Monterey Bay,946001347
California State University-Northridge,946001347
California State University-Sacramento,680365325
California State University-San Bernardino,330644150
California State University-San Marcos,800390564
California State University-Stanislaus,770207337
California University of Science and Medicine,464141445
California Western School of Law,952944594
Calumet College of Saint Joseph,351087173
Calvary University,436052681
Calvin Theological Seminary,383001876
Calvin University,383071514
Cambridge College,510163080
Cambridge College of Healthcare & Technology,270633989
Cambridge College of Healthcare & Technology,274217798
Cambridge Technical Institute,660673778
Camden County College,221821290
Cameo Beauty Academy,823249253
Cameo College of Essential Beauty,870531199
Cameron University,736017987
Campbell University,560529940
Campbellsville University,610469267
Canada College,943084147
Canadian Valley Technology Center,730778224
Canisius University,160743942
Cankdeska Cikana Community College,450350756
Cannella School of Hair Design-Chicago,363318163
Cannella School of Hair Design-Villa Park,363335714
Canton City Schools Adult Career and Technical Education,346000503
Cape Cod Community College,46002284
Cape Coral Technical College,596000701
Cape Fear Community College,560792881
Cape Girardeau Career and Technology Center,436000601
Capella University,411740392
Capilo School of Hair Design,30355049
Capital Area Career Center,370983047
Capital Health School of Nursing,210634585
Capital Health School of Radiologic Technology,223431049
Capital University,314379435
Capitol Beauty School,470488313
Capitol Technology University,520805606
Capri Beauty College,362694710
Capri Beauty College,362694710
Capri College-Cedar Rapids,420921245
Capri College-Davenport,420921245
Capri College-Dubuque,420921245
Capri Cosmetology Learning Centers,221723061
Capstone College,954100972
Cardiac and Vascular Institute of Ultrasound,680595031
Career Academy of Beauty,330124712
Career Academy of Hair Design,203602788
Career and Technology Education Centers of Licking County,310793684
Career Care Institute,954833791
Career Center of Southern Illinois,371216623
Career Development Institute Inc,954866971
Career Networks Institute,330607608
Career School of NY,134025667
Career Technical Institute,61328890
Career Technology Center of Lackawanna County,231709530
Careers Unlimited,841392555
Caribbean Aviation Training Institute Inc,660682928
Caribbean Forensic and Technical College,660493957
Caribbean University-Bayamon,237409172
Caribbean University-Carolina,237409172
Caribbean University-Ponce,237409172
Caribbean University-Vega Baja,237409172
Caris College,203293624
Carl Albert State College,736017987
Carl Sandburg College,370896983
Carleton College,410694747
Carlow University,250965438
Carlson College of Massage Therapy,421436564
Carnegie Institute,381679892
Carnegie Mellon University,250969449
Carolina Christian College,566061483
Carolina College of Biblical Studies,561388743
Carolina College of Hair Design Inc,204038655
Carolina University,560594591
Carolinas College of Health Sciences,560529945
Carrington College-Administrative Office,943166490
Carrington College-Albuquerque,860498134
Carrington College-Boise,820381820
Carrington College-Las Vegas,860498134
Carrington College-Mesa,860498134
Carrington College-Phoenix North,860498134
Carrington College-Pleasant Hill Campus,943166490
Carrington College-Portland,860498134
Carrington College-Reno,820381820
Carrington College-Sacramento,943166490
Carrington College-San Jose,943166490
Carrington College-San Leandro Campus,943166490
Carrington College-Spokane,860498134
Carrington College-Stockton,943166490
Carrington College-Tucson,860498134
Carroll College,810231774
Carroll Community College,521806923
Carroll University,390806325
Carson-Newman University,620479189
Carteret Community College,560894932
Carthage College,370661496
Carthage R9 School District-Carthage Technical Center,446002057
Carver Career Center,556000337
Casa Loma College-Los Angeles,952462737
Casal Aveda Institute,341651925
Casal Institute of Nevada,202766915
Cascadia College,912010540
Case Western Reserve University,341018992
Casper College,836001132
Cass Career Center,446001404
Catawba College,560530251
Catawba Valley Community College,560792028
Catherine Hinds Institute of Esthetics,42689296
Catholic Distance University,541251090
Catholic Theological Union at Chicago,362647967
Cattaraugus Allegany BOCES-Practical Nursing Program,166006266
Cayce/Reilly School of Massage,540573802
